BIOMETRIC OF  INTESTINAL VILLI OF  GIANT TREVALLY Caranx ignoblis																					

Treatment	Replication	Sample number	Code Data of fish sample	Lenght of villi (µm)	Average length  of villi per fish sample (µm)	Average length of villi per replication (µm)	Width of villi (µm)	Average width of villi per fish sample(µm)	Average width of villi per replication (µm)		Treatment	Replication	Sample number	Code Data of fish sample	Lenght of villi (µm)	Average length  of villi per fish sample (µm)	Average length of villi per replication (µm)	Width of villi (µm)	Average width of villi per fish sample(µm)	Average width of villi per replication (µm)	
			V2	99.686			23.940							V2	131.500			23.59357			
			V3	111.009			25.142							V3	138.164			28.38335			
			V4	114.925			17.388							V4	120.816			24.52449			
			V5	111.515			20.856							V5	141.108			21.01586			
B3	1	1	V1	145.138	134.956	120.888	27.714	29.105	25.045		E3	1	1	V1	67.816	62.398	110.057	21.45647	24.895014	24.9477068	
			V2	177.411			21.699							V2	61.022			25.61469			
			V3	124.261			35.446							V3	53.059			27.45647			
			V4	139.368			28.978							V4	52.297			25.76008			
			V5	88.602			31.686							V5	77.793			24.18736			
		2	V1	145.138	110.556		22.714	23.445					2	V1	145.676	140.690		26.77886	24.03543		
			V2	107.411			20.699							V2	144.968			19.67733			
			V3	122.261			25.446							V3	148.295			24.77933			
			V4	99.368			28.978							V4	147.921			21.46517			
			V5	78.602			19.386							V5	116.589			27.47646			
		3	V1	145.138	119.796		27.714	24.945					3	V1	95.921	102.710		21.17621	25.55618		
			V2	107.411			21.699							V2	96.205			30.53164			
			V3	122.261			21.646							V3	141.158			24.26511			
			V4	139.368			28.978							V4	90.423			30.54073			
			V5	84.802			24.686							V5	89.843			21.26721			
		4	V1	145.138	122.576		26.014	24.465					4	V1	91.690	92.923		21.26721	24.756896		
			V2	107.411			21.699							V2	94.577			27.59357			
			V3	132.261			25.446							V3	92.559			29.38335			
			V4	139.368			28.978							V4	95.983			24.52449			
			V5	88.702			20.186							V5	89.808			21.01586			
		5	V1	85.138	116.556		17.714	23.265					5	V1	178.947	151.564		21.45647	25.495014		
			V2	127.411			21.699							V2	177.736			25.61469			
			V3	142.261			28.446							V3	159.729			21.45647			
			V4	139.368			28.778							V4	140.973			29.76008			
			V5	88.602			19.686							V5	100.437			29.18736			
	2	1	V1	100.489	96.658	112.578	10.821	18.330	23.294			2	1	V1	97.816	101.798	120.297	25.21739	24.11329	24.351362	
			V2	90.107			17.247							V2	98.022			24.26511			
			V3	104.706			22.030							V3	113.059			24.36619			
			V4	98.310			19.947							V4	122.297			20.03934			
			V5	89.681			21.604							V5	77.793			26.67842			
		2	V1	120.489	124.258		20.821	24.530					2	V1	145.676	140.690		19.77886	24.63543		
			V2	98.107			27.247							V2	144.968			29.67733			
			V3	104.706			22.030							V3	148.295			24.77933			
			V4	158.310			30.947							V4	147.921			21.46517			
			V5	139.681			21.604							V5	116.589			27.47646			
		3	V1	111.489	111.858		29.821	22.970					3	V1	95.921	104.510		21.17621	22.55618		
			V2	95.107			19.447							V2	96.205			20.53164			
			V3	104.706			14.030							V3	141.158			24.26511			
			V4	98.310			29.947							V4	99.423			25.54073			
			V5	149.681			21.604							V5	89.843			21.26721			
		4	V1	144.489	119.458		10.821	24.130					4	V1	91.690	102.923		21.26721	24.956896		
			V2	100.107			29.247							V2	134.577			27.59357			
			V3	104.706			32.030							V3	92.559			28.38335			
			V4	148.310			26.947							V4	95.983			24.52449			
			V5	99.681			21.604							V5	99.808			23.01586			
		5	V1	100.489	110.658		22.821	26.510					5	V1	178.947	151.564		21.45647	25.495014		
			V2	90.107			28.147							V2	177.736			25.61469			
			V3	104.706			32.030							V3	159.729			21.45647			
			V4	98.310			27.947							V4	140.973			29.76008			
			V5	159.681			21.604							V5	100.437			29.18736			
	3	1	V1	106.353	113.575	110.761	24.594	21.798	23.501			3	1	V1	137.831	130.743	129.416	31.89647	26.089774	23.4329016	
			V2	101.139			21.879							V2	160.048			29.15014			
			V3	131.327			22.243							V3	92.330			18.58437			
			V4	109.216			26.543							V4	165.154			28.13485			
			V5	119.839			13.732							V5	98.355			22.68304			
		2	V1	100.222	120.788		18.685	23.638					2	V1	95.417	122.051		20.78047	23.769834		
			V2	97.099			22.538							V2	99.933			27.94439			
			V3	122.040			22.962							V3	129.199			20.81161			
			V4	131.997			26.039							V4	138.864			26.49835			
			V5	152.582			27.967							V5	146.840			22.81435			
		3	V1	108.507	102.417		19.853	23.979					3	V1	131.690	124.923		23.21739	23.91329		
			V2	72.269			26.126							V2	144.577			24.26511			
			V3	113.893			25.787							V3	92.559			21.36619			
			V4	96.780			25.129							V4	155.983			26.03934			
			V5	120.637			23.002							V5	99.808			24.67842			
		4	V1	97.251	104.743		30.811	25.647					4	V1	178.947	151.564		26.77886	22.03543		
			V2	128.128			25.267							V2	177.736			19.67733			
			V3	96.847			29.486							V3	159.729			24.77933			
			V4	102.275			22.282							V4	140.973			21.46517			
			V5	99.215			20.388							V5	100.437			17.47646			
		5	V1	115.277	112.281		15.458	22.442					5	V1	97.816	117.798		21.17621	21.35618		
			V2	93.985			16.419							V2	98.022			20.53164			
			V3	111.929			32.684							V3	113.059			23.26511			
			V4	129.476			34.485							V4	122.297			20.54073			
			V5	110.736			13.165							V5	157.793			21.26721			
B4	1	1	V1	106.353	95.375	107.921	24.594	23.798	23.741		E4	1	1	V1	145.676	140.690	131.777	21.26721	22.956896	24.3744976	
			V2	101.139			21.879							V2	144.968			27.59357			
			V3	81.327			22.243							V3	148.295			20.38335			
			V4	109.216			26.543							V4	147.921			24.52449			
			V5	78.839			23.732							V5	116.589			21.01586			
		2	V1	100.222	130.788		28.685	23.638					2	V1	148.631	127.764		28.38445	24.817898		
			V2	167.099			22.538							V2	111.200			27.8873			
			V3	152.040			22.962							V3	128.164			21.00991			
			V4	141.997			26.039							V4	120.816			22.90771			
			V5	92.582			17.967							V5	130.008			23.90012			
		3	V1	108.507	102.417		29.853	25.979					3	V1	137.631	135.444		28.38445	23.061898		
			V2	72.269			26.126							V2	142.500			18.1073			
			V3	113.893			25.787							V3	135.164			23.00991			
			V4	96.780			25.129							V4	120.816			21.90771			
			V5	120.637			23.002							V5	141.108			23.90012			
		4	V1	97.251	104.743		20.811	20.847					4	V1	102.131	118.944		28.38445	26.217898		
			V2	98.128			21.267							V2	122.500			25.8873			
			V3	136.847			19.486							V3	138.164			23.00991			
			V4	92.275			22.282							V4	120.816			29.90771			
			V5	99.215			20.388							V5	111.108			23.90012			
		5	V1	115.277	106.281		15.458	24.442					5	V1	148.631	136.044		19.38445	24.817898		
			V2	93.985			26.419							V2	131.500			25.8873			
			V3	111.929			32.684							V3	138.164			23.00991			
			V4	99.476			34.485							V4	120.816			21.90771			
			V5	110.736			13.165							V5	141.108			33.90012			
	2	1	V1	138.473	135.685	128.129	28.574	28.283	25.005			2	1	V1	100.343	91.682	130.456	20.88325	22.490428	24.1193696	
			V2	116.822			30.015							V2	95.044			24.30431			
			V3	239.887			25.579							V3	82.293			18.16782			
			V4	112.900			28.296							V4	89.802			21.28174			
			V5	70.345			28.952							V5	90.929			27.81502			
		2	V1	209.847	125.111		33.187	27.536					2	V1	115.785	101.147		23.93408	21.345336		
			V2	108.315			38.033							V2	95.127			19.19813			
			V3	101.827			29.149							V3	102.056			22.60885			
			V4	93.249			20.691							V4	97.218			23.7682			
			V5	112.315			16.622							V5	95.549			17.21742			
		3	V1	102.940	149.732		21.604	23.234					3	V1	93.529	107.035		22.53441	23.93399		
			V2	109.383			22.074							V2	105.714			18.65455			
			V3	232.614			29.188							V3	110.547			23.40137			
			V4	146.626			18.704							V4	128.757			26.36027			
			V5	157.097			24.602							V5	96.630			28.71935			
		4	V1	144.489	119.458		1.977	21.797					4	V1	325.787	191.854		27.0558	26.96055		
			V2	100.107			25.539							V2	144.539			25.44918			
			V3	104.706			25.664							V3	146.938			25.61258			
			V4	148.310			24.779							V4	189.047			29.08227			
			V5	99.681			31.026							V5	152.958			27.60292			
		5	V1	100.489	110.658		27.586	24.172					5	V1	170.172	160.563		11.58809	25.866544		
			V2	90.107			22.550							V2	132.496			30.71079			
			V3	104.706			19.504							V3	156.797			25.96934			
			V4	98.310			28.279							V4	174.773			32.8381			
			V5	159.681			22.942							V5	168.576			28.2264			
	3	1	V1	102.940	149.732	123.843	27.127	24.355	24.055			3	1	V1	79.886	96.684	118.716	23.73164	26.791752	23.3144368	
			V2	109.383			21.784							V2	101.155			25.32506			
			V3	232.614			27.588							V3	85.321			29.13865			
			V4	146.626			23.072							V4	124.405			27.79189			
			V5	157.097			22.204							V5	92.650			27.97152			
		2	V1	145.138	110.556		22.847	24.847					2	V1	109.310	106.466		27.79404	23.231926		
			V2	107.411			25.934							V2	113.552			19.86847			
			V3	122.261			20.312							V3	94.106			19.29409			
			V4	99.368			27.643							V4	91.244			24.17319			
			V5	78.602			27.497							V5	124.118			25.02984			
		3	V1	145.138	119.796		20.110	24.386					3	V1	137.631	135.444		26.77886	22.03543		
			V2	107.411			23.539							V2	142.500			19.67733			
			V3	122.261			26.530							V3	135.164			24.77933			
			V4	139.368			23.245							V4	120.816			21.46517			
			V5	84.802			28.507							V5	141.108			17.47646			
		4	V1	145.138	122.576		24.011	23.992					4	V1	102.131	118.944		21.17621	21.55618		
			V2	107.411			24.247							V2	122.500			20.53164			
			V3	132.261			29.882							V3	138.164			24.26511			
			V4	139.368			23.417							V4	120.816			20.54073			
			V5	88.702			18.404							V5	111.108			21.26721			
		5	V1	85.138	116.556		26.157	22.697					5	V1	148.631	136.044		21.26721	22.956896		
			V2	127.411			23.940							V2	131.500			27.59357			
			V3	142.261			25.142							V3	138.164			20.38335			
			V4	139.368			17.388							V4	120.816			24.52449			
			V5	88.602			20.856							V5	141.108			21.01586			
C1	1	1	V1	106.291	102.206	135.975	28.978	28.953	22.350												
			V2	97.293			20.541														
			V3	85.217			33.070														
			V4	123.487			25.939														
			V5	98.743			36.238														
		2	V1	136.142	128.070		23.508	21.411													
			V2	107.852			19.323														
			V3	143.069			17.731														
			V4	123.862			19.663														
			V5	129.423			26.831														
		3	V1	178.189	137.773		27.059	19.767													
			V2	127.948			16.837														
			V3	157.383			19.005														
			V4	112.340			17.967														
			V5	113.006			17.967														
		4	V1	166.791	168.313		22.617	19.779													
			V2	158.313			22.358														
			V3	172.331			18.749														
			V4	172.988			17.358														
			V5	171.143			17.815														
		5	V1	168.175	143.512		18.952	21.837													
			V2	140.669			18.137														
			V3	154.044			25.471														
			V4	120.383			27.279														
			V5	134.286			19.347														
	2	1	V1	166.838	152.000	139.896	22.904	24.374	23.280												
			V2	108.023			28.952														
			V3	81.856			23.059														
			V4	149.686			26.630														
			V5	253.600			20.325														
		2	V1	146.838	135.460		22.904	23.394													
			V2	105.323			25.952														
			V3	81.856			23.059														
			V4	129.686			25.730														
			V5	213.600			19.325														
		3	V1	126.838	141.698		22.504	22.286													
			V2	108.023			28.952														
			V3	81.746			22.259														
			V4	149.686			18.630														
			V5	242.200			19.085														
		4	V1	136.438	129.920		12.904	22.174													
			V2	118.023			18.952														
			V3	81.856			23.059														
			V4	109.686			26.630														
			V5	203.600			29.325														
		5	V1	144.838	140.400		22.904	24.174													
			V2	108.023			28.952														
			V3	71.856			23.059														
			V4	138.686			26.630														
			V5	238.600			19.325														
	3	1	V1	136.142	128.070	137.512	23.508	22.211	24.085												
			V2	107.852			19.323														
			V3	143.069			17.731														
			V4	123.862			23.663														
			V5	129.423			26.831														
		2	V1	178.189	137.773		27.059	20.367													
			V2	127.948			16.837														
			V3	157.383			22.005														
			V4	112.340			17.967														
			V5	113.006			17.967														
		3	V1	166.791	168.313		22.617	19.179													
			V2	158.313			19.358														
			V3	172.331			18.749														
			V4	172.988			17.358														
			V5	171.143			17.815														
		4	V1	168.175	143.512		18.952	21.837													
			V2	140.669			18.137														
			V3	154.044			25.471														
			V4	120.383			27.279														
			V5	134.286			19.347														
		5	V1	134.743	109.892		28.195	36.829													
			V2	155.578			17.724														
			V3	119.911			24.881														
			V4	17.305			98.316														
			V5	121.922			15.030														
C2	1	1	V1	117.638	132.852	133.345	23.508	17.719	24.433												
			V2	179.163			15.471														
			V3	89.067			22.831														
			V4	97.584			11.016														
			V5	180.809			15.769														
		2	V1	95.983	149.755		22.847	20.988													
			V2	86.995			20.388														
			V3	184.725			18.972														
			V4	192.057			23.388														
			V5	189.016			19.347														
		3	V1	87.638	114.852		28.195	36.829													
			V2	79.163			17.724														
			V3	159.067			22.881														
			V4	167.584			98.316														
			V5	80.809			17.030														
		4	V1	95.983	125.755		24.508	24.119													
			V2	176.995			25.471														
			V3	84.725			22.831														
			V4	172.057			22.016														
			V5	99.016			25.769														
		5	V1	168.175	143.512		22.847	22.508													
			V2	140.669			27.388														
			V3	154.044			28.972														
			V4	120.383			23.388														
			V5	134.286			9.947														
	2	1	V1	121.587	96.989	138.078	27.146	26.426	24.489												
			V2	84.504			20.033														
			V3	129.245			31.738														
			V4	68.244			30.338														
			V5	81.364			22.876														
		2	V1	135.506	128.691		27.638	26.827													
			V2	119.566			24.613														
			V3	121.096			34.463														
			V4	109.316			22.584														
			V5	157.969			24.835														
		3	V1	141.983	161.366		11.481	25.202													
			V2	142.871			21.185														
			V3	172.805			25.308														
			V4	215.287			29.533														
			V5	133.886			38.501														
		4	V1	125.098	147.976		12.890	21.494													
			V2	224.334			20.037														
			V3	115.153			24.350														
			V4	131.616			24.268														
			V5	143.680			25.925														
		5	V1	218.159	155.368		16.453	22.496													
			V2	106.029			24.011														
			V3	143.736			21.159														
			V4	156.820			28.042														
			V5	152.096			22.814														
	3	1	V1	85.129	112.562	130.398	30.344	20.305	24.116												
			V2	136.252			24.564														
			V3	98.990			14.678														
			V4	90.020			13.191														
			V5	152.417			18.749														
		2	V1	98.817	118.817		19.890	20.808													
			V2	94.722			20.689														
			V3	98.815			29.564														
			V4	169.836			15.934														
			V5	131.898			17.962														
		3	V1	97.740	108.787		17.720	22.519													
			V2	160.130			25.579														
			V3	90.732			17.967														
			V4	96.823			27.720														
			V5	98.509			23.611														
		4	V1	166.791	168.313		28.195	36.829													
			V2	158.313			17.724														
			V3	172.331			22.881														
			V4	172.988			98.316														
			V5	171.143			17.030														
		5	V1	168.175	143.512		24.508	20.119													
			V2	140.669			25.471														
			V3	154.044			22.831														
			V4	120.383			12.016														
			V5	134.286			15.769														
C3	1	1	V1	154.857	102.497	131.892	31.188	29.784	24.339												
			V2	82.616			13.499														
			V3	85.346			21.343														
			V4	109.007			22.485														
			V5	80.661			60.407														
		2	V1	106.291	118.806		28.978	28.953													
			V2	100.293			20.541														
			V3	165.217			33.070														
			V4	123.487			25.939														
			V5	98.743			36.238														
		3	V1	136.142	132.070		23.508	21.411													
			V2	127.852			19.323														
			V3	143.069			17.731														
			V4	123.862			19.663														
			V5	129.423			26.831														
		4	V1	178.189	137.773		27.059	19.767													
			V2	127.948			16.837														
			V3	157.383			19.005														
			V4	112.340			17.967														
			V5	113.006			17.967														
		5	V1	166.791	168.313		22.617	21.779													
			V2	158.313			22.358														
			V3	172.331			18.749														
			V4	172.988			27.358														
			V5	171.143			17.815														
	2	1	V1	168.175	143.512	144.236	18.952	23.237	23.766												
			V2	140.669			25.137														
			V3	154.044			25.471														
			V4	120.383			27.279														
			V5	134.286			19.347														
		2	V1	136.142	128.070		23.508	22.211													
			V2	107.852			19.323														
			V3	143.069			17.731														
			V4	123.862			23.663														
			V5	129.423			26.831														
		3	V1	178.189	137.773		27.059	22.367													
			V2	127.948			26.837														
			V3	157.383			22.005														
			V4	112.340			17.967														
			V5	113.006			17.967														
		4	V1	166.791	168.313		22.617	25.179													
			V2	158.313			29.358														
			V3	172.331			18.749														
			V4	172.988			27.358														
			V5	171.143			27.815														
		5	V1	168.175	143.512		28.952	25.837													
			V2	140.669			28.137														
			V3	154.044			25.471														
			V4	120.383			27.279														
			V5	134.286			19.347														
	3	1	V1	157.816	125.117	135.395	31.757	25.247	23.286												
			V2	95.420			20.340														
			V3	137.831			40.371														
			V4	115.861			20.919														
			V5	118.657			12.847														
		2	V1	108.727	115.498		24.564	20.950													
			V2	99.203			17.294														
			V3	145.956			33.390														
			V4	108.590			13.732														
			V5	115.011			15.769														
		3	V1	98.759	126.498		25.150	23.748													
			V2	132.528			27.666														
			V3	162.383			17.153														
			V4	146.420			22.617														
			V5	92.398			26.154														
		4	V1	123.072	141.551		14.964	16.699													
			V2	164.475			22.609														
			V3	181.078			15.864														
			V4	144.786			15.993														
			V5	94.345			14.067														
		5	V1	166.791	168.313		31.188	29.784													
			V2	158.313			13.499														
			V3	172.331			21.343														
			V4	172.988			22.485														
			V5	171.143			60.407														
C4	1	1	V1	99.472	112.590	124.947	28.432	24.271	23.637												
			V2	104.234			31.780														
			V3	95.773			29.100														
			V4	163.892			11.234														
			V5	99.577			20.811														
		2	V1	119.998	126.313		22.373	21.367													
			V2	164.774			21.378														
			V3	93.929			13.947														
			V4	155.888			23.191														
			V5	96.974			25.947														
		3	V1	104.423	134.175		22.880	23.769													
			V2	103.830			27.653														
			V3	197.265			20.785														
			V4	166.968			21.864														
			V5	98.387			25.662														
		4	V1	121.194	123.224		21.242	23.525													
			V2	152.661			32.478														
			V3	113.900			24.265														
			V4	122.408			17.636														
			V5	105.959			22.005														
		5	V1	129.492	128.433		32.541	25.250													
			V2	157.635			27.450														
			V3	122.216			15.579														
			V4	133.357			30.977														
			V5	99.467			19.706														
	2	1	V1	121.587	96.989	138.078	25.146	26.026	24.889												
			V2	84.504			20.033														
			V3	129.245			31.738														
			V4	68.244			30.338														
			V5	81.364			22.876														
		2	V1	135.506	128.691		21.638	25.227													
			V2	119.566			24.613														
			V3	121.096			34.463														
			V4	109.316			20.584														
			V5	157.969			24.835														
		3	V1	141.983	161.366		11.481	27.202													
			V2	142.871			21.185														
			V3	172.805			35.308														
			V4	215.287			29.533														
			V5	133.886			38.501														
		4	V1	125.098	147.976		12.890	23.494													
			V2	224.334			30.037														
			V3	115.153			24.350														
			V4	131.616			24.268														
			V5	143.680			25.925														
		5	V1	218.159	155.368		16.453	22.496													
			V2	106.029			24.011														
			V3	143.736			21.159														
			V4	156.820			28.042														
			V5	152.096			22.814														
	3	1	V1	85.129	112.562	130.398	30.344	20.305	24.116												
			V2	136.252			24.564														
			V3	98.990			14.678														
			V4	90.020			13.191														
			V5	152.417			18.749														
		2	V1	98.817	118.817		19.890	20.808													
			V2	94.722			20.689														
			V3	98.815			29.564														
			V4	169.836			15.934														
			V5	131.898			17.962														
		3	V1	97.740	108.787		17.720	22.519													
			V2	160.130			25.579														
			V3	90.732			17.967														
			V4	96.823			27.720														
			V5	98.509			23.611														
		4	V1	166.791	168.313		28.195	36.829													
			V2	158.313			17.724														
			V3	172.331			22.881														
			V4	172.988			98.316														
			V5	171.143			17.030														
		5	V1	168.175	143.512		24.508	20.119													
			V2	140.669			25.471														
			V3	154.044			22.831														
			V4	120.383			12.016														
			V5	134.286			15.769														
